Trainee ID,Membership ID,Branch ID,Date,Invoice Number,Payment Method,Total Amount
20001,1,1,2022-05-17,INV1001,Credit Card,5000
20002,3,2,2022-01-17,INV1002,Cash,15000
20003,2,4,2023-09-29,INV1003,Credit Card,8000
20004,2,1,2021-09-29,INV1004,Instapay,8000
20005,4,3,2023-06-01,INV1005,Instapay,16000
20006,3,2,2022-01-19,INV1006,Credit Card,15000
20007,3,1,2022-01-29,INV1007,Cash,15000
20008,2,4,2023-08-28,INV1008,Cash,8000
20009,4,2,2023-03-16,INV1009,Credit Card,16000
20010,2,4,2021-06-29,INV1010,Cash,8000
20011,4,2,2023-01-16,INV1011,Instapay,16000
20012,3,3,2022-03-16,INV1012,Instapay,15000
20013,4,1,2022-12-22,INV1013,Instapay,16000
20014,4,1,2024-06-26,INV1014,Credit Card,16000
20015,4,4,2022-10-06,INV1015,Instapay,16000
20016,2,1,2022-05-13,INV1016,Instapay,8000
20017,1,4,2024-04-22,INV1017,Instapay,5000
20018,4,4,2023-12-20,INV1018,Instapay,16000
20019,2,4,2023-03-31,INV1019,Cash,8000
20020,5,1,2022-11-19,INV1020,Instapay,30000
20021,1,4,2023-05-16,INV1021,Instapay,5000
20022,5,1,2022-08-15,INV1022,Credit Card,30000
20023,4,4,2023-12-12,INV1023,Cash,16000
20024,1,3,2022-06-25,INV1024,Cash,5000
20025,3,4,2023-06-04,INV1025,Cash,15000
20026,3,2,2023-09-17,INV1026,Instapay,15000
20027,3,4,2024-09-28,INV1027,Instapay,15000
20028,5,3,2024-03-16,INV1028,Credit Card,30000
20029,3,4,2022-08-17,INV1029,Cash,15000
20030,4,2,2023-09-06,INV1030,Instapay,16000
20031,2,2,2021-06-11,INV1031,Credit Card,8000
20032,5,1,2023-01-12,INV1032,Credit Card,30000
20033,1,1,2024-07-28,INV1033,Credit Card,5000
20034,3,1,2024-01-07,INV1034,Credit Card,15000
20035,1,1,2023-11-15,INV1035,Credit Card,5000
20036,4,2,2022-10-19,INV1036,Cash,16000
20037,2,1,2023-06-29,INV1037,Credit Card,8000
20038,2,3,2022-09-08,INV1038,Cash,8000
20039,2,1,2025-02-04,INV1039,Instapay,8000
20040,5,2,2023-03-12,INV1040,Cash,30000
20041,4,2,2023-12-10,INV1041,Instapay,16000
20042,3,3,2024-05-14,INV1042,Credit Card,15000
20043,1,1,2023-05-16,INV1043,Instapay,5000
20044,2,3,2022-01-19,INV1044,Credit Card,8000
20045,5,1,2021-11-27,INV1045,Credit Card,30000
20046,4,2,2024-11-29,INV1046,Instapay,16000
20047,1,1,2023-02-28,INV1047,Cash,5000
20048,5,3,2023-04-12,INV1048,Instapay,30000
20049,2,2,2023-10-25,INV1049,Cash,8000
20050,3,3,2022-11-11,INV1050,Credit Card,15000
20051,1,1,2023-04-19,INV1051,Cash,5000
20052,4,1,2021-11-22,INV1052,Cash,16000
20053,1,2,2023-12-08,INV1053,Instapay,5000
20054,4,2,2023-06-04,INV1054,Instapay,16000
20055,1,1,2023-08-01,INV1055,Instapay,5000
20056,5,1,2022-08-23,INV1056,Instapay,30000
20057,3,2,2022-11-25,INV1057,Cash,15000
20058,4,2,2024-10-08,INV1058,Credit Card,16000
20059,3,5,2024-07-08,INV1059,Cash,15000
20060,1,2,2023-06-21,INV1060,Cash,5000
20061,5,1,2022-01-04,INV1061,Instapay,30000
20062,3,3,2023-05-22,INV1062,Cash,15000
20063,2,2,2023-10-02,INV1063,Credit Card,8000
20064,5,2,2023-05-29,INV1064,Credit Card,30000
20065,1,1,2023-10-14,INV1065,Instapay,5000
20066,1,3,2023-01-08,INV1066,Instapay,5000
20067,3,3,2022-11-20,INV1067,Credit Card,15000
20068,3,1,2023-11-26,INV1068,Instapay,15000
20069,5,1,2024-08-27,INV1069,Cash,30000
20070,1,1,2022-09-05,INV1070,Credit Card,5000
20071,5,1,2023-04-19,INV1071,Instapay,30000
20072,3,2,2024-07-13,INV1072,Credit Card,15000
20073,1,1,2023-05-01,INV1073,Instapay,5000
20074,4,1,2024-07-22,INV1074,Cash,16000
20075,2,2,2022-12-13,INV1075,Cash,8000
20076,5,1,2024-03-20,INV1076,Credit Card,30000
20077,4,1,2023-08-03,INV1077,Credit Card,16000
20078,1,2,2024-06-02,INV1078,Cash,5000
20079,1,1,2021-08-05,INV1079,Cash,5000
20080,1,1,2022-12-29,INV1080,Cash,5000
20081,3,1,2022-01-27,INV1081,Instapay,15000
20082,1,2,2022-12-06,INV1082,Credit Card,5000
20083,4,1,2023-12-23,INV1083,Instapay,16000
20084,2,2,2022-09-14,INV1084,Credit Card,8000
20085,5,1,2024-11-03,INV1085,Instapay,30000
20086,3,2,2023-08-05,INV1086,Instapay,15000
20087,3,3,2023-05-08,INV1087,Instapay,15000
20088,2,1,2023-05-16,INV1088,Instapay,8000
20089,4,1,2022-02-13,INV1089,Cash,16000
20090,5,1,2023-02-07,INV1090,Cash,30000
20091,5,2,2023-04-25,INV1091,Cash,30000
20092,3,2,2023-06-29,INV1092,Credit Card,15000
20093,2,1,2021-08-29,INV1093,Instapay,8000
