Trainee ID,Trainer ID,Date,Height,Weight,Chest Size,Fat Percentage,Waist Size,Hip Size,Muscle Mass,Goal
20001,30003,2022-05-17,195,90,120,14.48,76,103,45,Lose Fat
20004,30018,2021-09-29,186,62,98,11.01,72,105,31,Build Muscle
20007,30020,2022-01-29,175,95,98,14.77,79,107,46,Build Muscle
20013,30051,2022-12-22,175,56,112,23.98,91,102,39,Lose Fat
20014,30053,2024-06-26,182,56,95,19.16,89,108,34,Build Muscle
20016,30058,2022-05-13,194,86,105,18.73,88,99,45,Build Muscle
20020,30062,2022-11-19,166,65,88,20.25,79,106,48,Maintain
20022,30063,2022-08-15,198,90,103,17.76,93,85,36,Maintain
20032,30069,2023-01-12,190,77,107,18.73,96,101,33,Maintain
20033,30078,2024-07-28,158,93,111,17.6,89,92,50,Build Muscle
20034,30079,2024-01-07,177,55,102,15.91,94,109,39,Maintain
20035,30084,2023-11-15,168,62,96,10.26,70,101,43,Maintain
20037,30088,2023-06-29,158,74,109,11.81,96,102,50,Build Muscle
20039,30090,2025-02-04,157,73,118,10.77,91,94,46,Lose Fat
20043,30098,2023-05-16,189,85,97,16.99,99,107,45,Lose Fat
20045,30103,2021-11-27,192,77,90,23.47,87,88,50,Build Muscle
20047,30104,2023-02-28,150,87,93,22.95,88,101,35,Build Muscle
20051,30109,2023-04-19,199,70,86,15.87,87,103,48,Build Muscle
20052,30110,2021-11-22,168,76,112,17.32,93,100,31,Maintain
20055,30111,2023-08-01,168,59,101,13.57,76,91,44,Maintain
20056,30113,2022-08-23,160,87,85,19.3,77,86,35,Build Muscle
20061,30114,2022-01-04,187,55,95,24.67,99,91,46,Maintain
20065,30118,2023-10-14,185,65,102,22.27,99,87,35,Lose Fat
20068,30119,2023-11-26,154,58,86,20.37,85,91,33,Build Muscle
20069,30123,2024-08-27,167,61,117,16.92,73,105,42,Lose Fat
20070,30143,2022-09-05,196,75,91,10.43,70,87,35,Lose Fat
20071,30146,2023-04-19,158,79,100,12.54,89,90,50,Build Muscle
20073,30147,2023-05-01,187,81,85,11.76,88,103,41,Lose Fat
20074,30149,2024-07-22,189,69,112,12.72,100,108,46,Lose Fat
20076,30153,2024-03-20,198,87,87,14.95,82,104,39,Lose Fat
20077,30158,2023-08-03,198,93,105,19.97,83,97,39,Lose Fat
20079,30160,2021-08-05,172,83,107,11.74,90,91,39,Maintain
20080,30161,2022-12-29,167,65,89,24.71,95,85,45,Lose Fat
20081,30163,2022-01-27,183,87,104,24.11,95,87,30,Lose Fat
20083,30170,2023-12-23,180,67,94,10.75,95,86,33,Lose Fat
20085,30174,2024-11-03,165,94,96,20.88,98,90,50,Build Muscle
20088,30177,2023-05-16,179,76,102,11.39,95,108,43,Build Muscle
20089,30178,2022-02-13,179,93,87,22.9,70,105,45,Build Muscle
20090,30179,2023-02-07,198,64,85,20.57,80,104,32,Build Muscle
20093,30182,2021-08-29,171,58,120,14.41,83,102,40,Lose Fat
20095,30185,2024-07-22,186,59,116,22.33,84,98,42,Maintain
20096,30187,2023-06-14,150,60,106,13.03,88,96,31,Build Muscle
20098,30189,2024-05-15,161,81,101,10.92,73,95,46,Lose Fat
20104,30191,2025-04-15,158,57,115,24.39,100,87,49,Lose Fat
20105,30192,2023-06-26,165,61,109,19.39,85,98,49,Build Muscle
20110,30193,2023-07-18,158,81,113,10.35,75,98,34,Lose Fat
20112,30195,2022-04-03,155,90,111,23.23,72,86,38,Build Muscle
20114,30200,2022-04-09,190,78,93,22.42,83,98,41,Build Muscle
20115,30003,2023-03-27,178,81,101,21.69,76,99,38,Maintain
20117,30018,2023-07-10,182,83,109,16.08,94,103,47,Lose Fat
20118,30020,2021-12-13,189,94,89,23.71,87,108,32,Lose Fat
20121,30051,2022-01-15,178,94,112,24.84,99,97,36,Build Muscle
20123,30053,2022-06-29,189,80,112,14.53,85,92,48,Maintain
20125,30058,2023-03-01,183,64,103,13.44,81,92,43,Build Muscle
20127,30062,2021-11-26,169,66,104,12.84,88,97,38,Build Muscle
20129,30063,2023-01-02,185,58,91,21.61,89,105,34,Maintain
20130,30069,2025-04-12,183,56,90,18.15,97,96,45,Maintain
20135,30078,2021-05-29,162,94,110,11.47,84,85,35,Lose Fat
20140,30079,2023-04-19,187,75,110,12.32,77,105,46,Maintain
20147,30084,2023-09-26,192,61,92,16.5,74,93,44,Build Muscle
20151,30088,2022-08-13,194,58,92,13.46,88,107,35,Build Muscle
20159,30090,2025-01-22,184,92,85,17.1,71,96,46,Maintain
20164,30098,2023-04-12,173,83,111,12.22,73,104,39,Maintain
20166,30103,2023-01-18,162,95,112,13.1,86,104,33,Maintain
20170,30104,2023-01-11,173,75,105,16,93,109,33,Build Muscle
20173,30109,2024-01-19,154,95,101,17.81,73,95,41,Lose Fat
20176,30110,2022-01-23,179,84,91,10.57,97,107,50,Maintain
20177,30111,2022-05-08,158,80,97,19.57,71,104,41,Lose Fat
20178,30113,2024-08-02,153,67,119,13.06,81,103,41,Build Muscle
20188,30114,2023-03-16,188,91,112,16.9,71,98,43,Build Muscle
20190,30118,2023-03-03,186,67,100,12.78,89,96,47,Maintain
20192,30119,2022-12-16,152,85,98,16.95,97,90,35,Lose Fat
20193,30123,2023-02-18,184,82,90,16.59,76,100,44,Build Muscle
20199,30143,2021-12-15,165,59,89,17.84,98,103,32,Maintain
20200,30146,2022-12-20,181,59,87,23.98,81,93,46,Lose Fat
20201,30147,2024-12-07,166,64,105,24.81,76,85,40,Lose Fat
20202,30149,2022-03-01,153,90,87,11.26,85,99,45,Build Muscle
20205,30153,2023-06-10,187,81,91,22.04,82,96,31,Build Muscle
20206,30158,2023-03-17,152,56,119,11.52,89,85,47,Build Muscle
20207,30160,2023-03-22,194,83,115,17.21,70,85,45,Build Muscle
20210,30161,2023-08-29,181,57,119,17.84,100,101,33,Build Muscle
20211,30163,2023-01-07,175,76,89,21.89,80,92,39,Maintain
20212,30170,2022-05-14,175,57,102,23.05,79,98,49,Maintain
20216,30174,2022-04-18,182,80,104,19.67,73,93,43,Build Muscle
20217,30177,2022-12-19,189,72,104,17.1,86,92,36,Maintain
20219,30178,2023-10-19,185,55,119,17.41,76,108,33,Build Muscle
20220,30179,2023-10-13,184,64,106,21.49,96,95,44,Maintain
20222,30182,2024-07-13,187,77,107,10.08,79,85,44,Lose Fat
20223,30185,2024-11-14,199,89,103,17.49,72,85,47,Lose Fat
20225,30187,2023-06-01,166,60,114,24.97,70,100,41,Build Muscle
20227,30189,2022-12-01,162,86,87,23.61,92,105,46,Lose Fat
20232,30191,2022-03-16,155,72,94,22.28,98,100,47,Lose Fat
20233,30192,2025-04-02,171,60,113,17.59,92,109,37,Maintain
20235,30193,2024-05-27,167,55,88,15.57,81,90,38,Lose Fat
20239,30195,2021-09-08,151,71,120,12.05,83,88,32,Maintain
20240,30200,2024-06-09,194,81,96,12.99,82,104,46,Maintain
20245,30003,2023-08-12,156,89,107,10.88,93,109,48,Build Muscle
20246,30018,2023-02-01,154,91,102,22.08,77,97,44,Maintain
20247,30020,2022-12-02,189,85,92,19.86,83,110,34,Build Muscle
20248,30051,2022-05-09,165,77,93,16.45,73,90,33,Lose Fat
20249,30053,2022-12-16,172,81,90,13.01,78,90,31,Build Muscle
20251,30058,2022-09-01,199,76,93,16.97,89,100,34,Maintain
20253,30062,2024-05-15,185,55,120,18.43,70,97,41,Build Muscle
20256,30063,2024-11-24,187,59,89,10.36,72,94,32,Lose Fat
20257,30069,2024-03-23,160,75,111,19.37,77,90,40,Maintain
20258,30078,2022-11-08,182,93,91,19.88,77,93,36,Build Muscle
20259,30079,2025-03-07,181,57,113,10.22,88,90,32,Build Muscle
20260,30084,2024-10-25,185,70,99,14.39,95,103,31,Build Muscle
20261,30088,2023-11-06,179,67,115,23.66,79,90,40,Build Muscle
20262,30090,2024-04-17,192,79,93,15.45,97,90,34,Build Muscle
20263,30098,2024-03-20,180,79,96,19.14,86,94,45,Build Muscle
20265,30103,2023-06-18,158,92,85,18.4,99,96,31,Lose Fat
20266,30104,2022-08-30,156,76,92,12.41,75,104,44,Lose Fat
20269,30109,2022-03-15,177,68,96,13.44,94,95,39,Lose Fat
20275,30110,2022-09-25,192,85,97,23.63,78,95,33,Maintain
