Trainee ID,Membership ID,Status,Start Date,Expiry Date
20001,1,Expired,2022-05-17,2022-08-17
20002,3,Expired,2022-01-17,2023-01-17
20003,2,Expired,2023-09-29,2024-03-29
20004,2,Expired,2021-09-29,2022-03-29
20005,4,Expired,2023-06-01,2024-06-01
20006,3,Expired,2022-01-19,2023-01-19
20007,3,Expired,2022-01-29,2023-01-29
20008,2,Expired,2023-08-28,2024-02-28
20009,4,Expired,2023-03-16,2024-03-16
20010,2,Expired,2021-06-29,2021-12-29
20011,4,Expired,2023-01-16,2024-01-16
20012,3,Expired,2022-03-16,2023-03-16
20013,4,Expired,2022-12-22,2023-12-22
20014,4,Expired,2024-06-26,2025-06-26
20015,4,Expired,2022-10-06,2023-10-06
20016,2,Expired,2022-05-13,2022-11-13
20017,1,Expired,2024-04-22,2024-07-22
20018,4,Expired,2023-12-20,2024-12-20
20019,2,Expired,2023-03-31,2023-09-30
20020,5,Expired,2022-11-19,2024-11-19
20021,1,Expired,2023-05-16,2023-08-16
20022,5,Expired,2022-08-15,2024-08-15
20023,4,Expired,2023-12-12,2024-12-12
20024,1,Expired,2022-06-25,2022-09-25
20025,3,Expired,2023-06-04,2024-06-04
20026,3,Expired,2023-09-17,2024-09-17
20027,3,Expired,2024-09-28,2025-09-28
20028,5,Active,2024-03-16,2026-03-16
20029,3,Expired,2022-08-17,2023-08-17
20030,4,Expired,2023-09-06,2024-09-06
20031,2,Expired,2021-06-11,2021-12-11
20032,5,Expired,2023-01-12,2025-01-12
20033,1,Expired,2024-07-28,2024-10-28
20034,3,Expired,2024-01-07,2025-01-07
20035,1,Expired,2023-11-15,2024-02-15
20036,4,Expired,2022-10-19,2023-10-19
20037,2,Expired,2023-06-29,2023-12-29
20038,2,Expired,2022-09-08,2023-03-08
20039,2,Expired,2025-02-04,2025-08-04
20040,5,Expired,2023-03-12,2025-03-12
20041,4,Expired,2023-12-10,2024-12-10
20042,3,Expired,2024-05-14,2025-05-14
20043,1,Expired,2023-05-16,2023-08-16
20044,2,Expired,2022-01-19,2022-07-19
20045,5,Expired,2021-11-27,2023-11-27
20046,4,Active,2024-11-29,2025-11-29
20047,1,Expired,2023-02-28,2023-05-28
20048,5,Expired,2023-04-12,2025-04-12
20049,2,Expired,2023-10-25,2024-04-25
20050,3,Expired,2022-11-11,2023-11-11
20051,1,Expired,2023-04-19,2023-07-19
20052,4,Expired,2021-11-22,2022-11-22
20053,1,Expired,2023-12-08,2024-03-08
20054,4,Expired,2023-06-04,2024-06-04
20055,1,Expired,2023-08-01,2023-11-01
20056,5,Expired,2022-08-23,2024-08-23
20057,3,Expired,2022-11-25,2023-11-25
20058,4,Expired,2024-10-08,2025-10-08
20059,3,Expired,2024-07-08,2025-07-08
20060,1,Expired,2023-06-21,2023-09-21
20061,5,Expired,2022-01-04,2024-01-04
20062,3,Expired,2023-05-22,2024-05-22
20063,2,Expired,2023-10-02,2024-04-02
20064,5,Expired,2023-05-29,2025-05-29
20065,1,Expired,2023-10-14,2024-01-14
20066,1,Expired,2023-01-08,2023-04-08
20067,3,Expired,2022-11-20,2023-11-20
20068,3,Expired,2023-11-26,2024-11-26
20069,5,Active,2024-08-27,2026-08-27
20070,1,Expired,2022-09-05,2022-12-05
20071,5,Expired,2023-04-19,2025-04-19
20072,3,Expired,2024-07-13,2025-07-13
20073,1,Expired,2023-05-01,2023-08-01
20074,4,Expired,2024-07-22,2025-07-22
20075,2,Expired,2022-12-13,2023-06-13
20076,5,Active,2024-03-20,2026-03-20
20077,4,Expired,2023-08-03,2024-08-03
20078,1,Expired,2024-06-02,2024-09-02
20079,1,Expired,2021-08-05,2021-11-05
20080,1,Expired,2022-12-29,2023-03-29
20081,3,Expired,2022-01-27,2023-01-27
20082,1,Expired,2022-12-06,2023-03-06
20083,4,Expired,2023-12-23,2024-12-23
20084,2,Expired,2022-09-14,2023-03-14
20085,5,Active,2024-11-03,2026-11-03
20086,3,Expired,2023-08-05,2024-08-05
20087,3,Expired,2023-05-08,2024-05-08
20088,2,Expired,2023-05-16,2023-11-16
20089,4,Expired,2022-02-13,2023-02-13
20090,5,Expired,2023-02-07,2025-02-07
20091,5,Expired,2023-04-25,2025-04-25
20092,3,Expired,2023-06-29,2024-06-29
20093,2,Expired,2021-08-29,2022-02-28
20094,5,Active,2025-04-18,2027-04-18
20095,3,Expired,2024-07-22,2025-07-22
20096,1,Expired,2023-06-14,2023-09-14
20097,3,Expired,2022-09-22,2023-09-22
20098,1,Expired,2024-05-15,2024-08-15
20099,4,Expired,2024-03-03,2025-03-03
20100,2,Expired,2023-09-28,2024-03-28
20101,1,Expired,2024-05-28,2024-08-28
20102,5,Expired,2022-05-26,2024-05-26
20103,3,Expired,2024-06-07,2025-06-07
20104,5,Active,2025-04-15,2027-04-15
20105,2,Expired,2023-06-26,2023-12-26
20106,3,Expired,2022-10-09,2023-10-09
20107,4,Expired,2023-04-23,2024-04-23
20108,2,Expired,2022-06-30,2022-12-30
20109,1,Expired,2021-07-07,2021-10-07
20110,2,Expired,2023-07-18,2024-01-18
20111,3,Expired,2022-03-28,2023-03-28
20112,5,Expired,2022-04-03,2024-04-03
20113,3,Expired,2023-10-16,2024-10-16
20114,5,Expired,2022-04-09,2024-04-09
20115,4,Expired,2023-03-27,2024-03-27
20116,5,Active,2024-06-26,2026-06-26
20117,4,Expired,2023-07-10,2024-07-10
20118,3,Expired,2021-12-13,2022-12-13
20119,5,Expired,2023-01-26,2025-01-26
20120,1,Expired,2022-01-06,2022-04-06
20121,3,Expired,2022-01-15,2023-01-15
20122,1,Expired,2022-08-30,2022-11-30
20123,1,Expired,2022-06-29,2022-09-29
20124,4,Expired,2022-04-02,2023-04-02
20125,1,Expired,2023-03-01,2023-06-01
