Trainer ID,Certificates
30107,NASM
30107,National Academy of Sports Medicine
30190,NSCA
30190,National Strength and Conditioning Association
30190,ISSA
30190,International Sports Sciences Association
30190,NASM
30190,National Academy of Sports Medicine
30162,ISSA
30162,International Sports Sciences Association
30162,CPR & First Aid Certified
30200,ISSA
30200,International Sports Sciences Association
30200,NSCA
30200,National Strength and Conditioning Association
30035,CrossFit Level 1 Trainer
30035,ISSA
30035,International Sports Sciences Association
30175,CrossFit Level 1 Trainer
30110,ACE
30110,American Council on Exercise
30110,CPR & First Aid Certified
30110,ISSA
30110,International Sports Sciences Association
30197,NASM
30197,National Academy of Sports Medicine
30072,CrossFit Level 1 Trainer
30112,ACSM
30112,American College of Sports Medicine
30061,CrossFit Level 1 Trainer
30061,ACSM
30061,American College of Sports Medicine
30119,ACSM
30119,American College of Sports Medicine
30119,ACE
30119,American Council on Exercise
30119,NSCA
30119,National Strength and Conditioning Association
30033,NASM
30033,National Academy of Sports Medicine
30033,NSCA
30033,National Strength and Conditioning Association
30033,CPR & First Aid Certified
30142,NSCA
30142,National Strength and Conditioning Association
30194,NSCA
30194,National Strength and Conditioning Association
30194,ACE
30194,American Council on Exercise
30194,ACSM
30194,American College of Sports Medicine
30012,CPR & First Aid Certified
30154,ISSA
30154,International Sports Sciences Association
30154,ACSM
30154,American College of Sports Medicine
30008,CPR & First Aid Certified
30008,ACE
30008,American Council on Exercise
30008,NSCA
30008,National Strength and Conditioning Association
30113,CPR & First Aid Certified
30113,NSCA
30113,National Strength and Conditioning Association
30189,ACSM
30189,American College of Sports Medicine
30189,CPR & First Aid Certified
30189,CrossFit Level 1 Trainer
30066,NASM
30066,National Academy of Sports Medicine
30066,ACSM
30066,American College of Sports Medicine
30066,ISSA
30066,International Sports Sciences Association
30153,ACSM
30153,American College of Sports Medicine
30153,ACE
30153,American Council on Exercise
30096,ISSA
30096,International Sports Sciences Association
30096,CrossFit Level 1 Trainer
30096,ACE
30096,American Council on Exercise
30014,ACE
30014,American Council on Exercise
30014,CrossFit Level 1 Trainer
30014,ISSA
30014,International Sports Sciences Association
30186,NSCA
30186,National Strength and Conditioning Association
30160,ACSM
30160,American College of Sports Medicine
30059,CrossFit Level 1 Trainer
30059,ACSM
30059,American College of Sports Medicine
30059,NSCA
30059,National Strength and Conditioning Association
30001,CPR & First Aid Certified
30001,ISSA
30001,International Sports Sciences Association
30039,NSCA
30039,National Strength and Conditioning Association
30039,CPR & First Aid Certified
30039,ACSM
